yahoo_symbol,fund_name,FY,April_NAV,March_NAV,Dividend,FY_Return,Avg_NAV,IDCW_Yield_pct
08AGG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2017-2018,,,0.0,,,
08AGG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2018-2019,,,0.0,,,
08AGG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2019-2020,,,0.0,,,
08AGG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2020-2021,,,0.0,,,
08AGG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2021-2022,,,0.0,,,
08AGG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2022-2023,,,0.0,,,
08AGG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2023-2024,,,0.0,,,
08AGG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2024-2025,,,0.0,,,
08AGG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2025-2026,,,0.0,,,
08AGG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2026-2027,31.940000534057617,31.940000534057617,0.0,0.0,31.940000534057617,0.0
08GPG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2017-2018,,,0.0,,,
08GPG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2018-2019,,,0.0,,,
08GPG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2019-2020,,,0.0,,,
08GPG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2020-2021,,,0.0,,,
08GPG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2021-2022,,,0.0,,,
08GPG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2022-2023,,,0.0,,,
08GPG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2023-2024,,,0.0,,,
08GPG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2024-2025,,,0.0,,,
08GPG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2025-2026,,,0.0,,,
08GPG.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2026-2027,2.0199999809265137,2.0199999809265137,0.0,0.0,2.0199999809265137,0.0
08MPD.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2017-2018,,,0.0,,,
08MPD.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2018-2019,,,0.0,,,
08MPD.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2019-2020,,,0.0,,,
08MPD.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2020-2021,,,0.0,,,
08MPD.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2021-2022,,,0.0,,,
08MPD.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2022-2023,,,0.0,,,
08MPD.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2023-2024,,,0.0,,,
08MPD.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2024-2025,,,0.0,,,
08MPD.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2025-2026,,,0.0,,,
08MPD.BO,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2026-2027,4.699999809265137,4.699999809265137,0.0,0.0,4.699999809265137,0.0
0P00005UMK.BO,ICICI Prudential Gilt Fund,2017-2018,12.178600311279297,12.492799758911133,0.0,0.31419944763183594,12.335700035095215,0.0
0P00005UMK.BO,ICICI Prudential Gilt Fund,2018-2019,12.543100357055664,13.220600128173828,0.0845,0.7619997711181641,12.881850242614746,0.66
0P00005UMK.BO,ICICI Prudential Gilt Fund,2019-2020,13.2391996383667,14.842399597167969,0.0,1.6031999588012695,14.040799617767334,0.0
0P00005UMK.BO,ICICI Prudential Gilt Fund,2020-2021,14.745200157165527,16.07200050354004,0.0,1.3268003463745117,15.408600330352783,0.0
0P00005UMK.BO,ICICI Prudential Gilt Fund,2021-2022,16.105100631713867,15.465399742126465,1.25,0.6102991104125977,15.785250186920166,7.92
0P00005UMK.BO,ICICI Prudential Gilt Fund,2022-2023,15.447400093078613,16.358200073242188,0.0,0.9107999801635742,15.9028000831604,0.0
0P00005UMK.BO,ICICI Prudential Gilt Fund,2023-2024,16.365999221801758,17.777599334716797,0.5322,1.943800112915039,17.071799278259277,3.12
0P00005UMK.BO,ICICI Prudential Gilt Fund,2024-2025,17.202800750732422,17.375200271606445,1.3588,1.5311995208740234,17.289000511169434,7.86
0P00005UMK.BO,ICICI Prudential Gilt Fund,2025-2026,17.48259925842285,16.947900772094727,0.9032,0.368501513671875,17.21525001525879,5.25
0P00005UMK.BO,ICICI Prudential Gilt Fund,2026-2027,16.84600067138672,17.757099151611328,0.0,0.9110984802246094,17.301549911499023,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund,2017-2018,58.21379852294922,59.71580123901367,0.0,1.5020027160644531,58.964799880981445,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund,2018-2019,59.95589828491211,63.79890060424805,0.0,3.8430023193359375,61.87739944458008,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund,2019-2020,63.88890075683594,71.62519836425781,0.0,7.736297607421875,67.75704956054688,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund,2020-2021,71.15630340576172,77.55919647216797,0.0,6.40289306640625,74.35774993896484,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund,2021-2022,77.71890258789062,80.68509674072266,0.0,2.9661941528320312,79.20199966430664,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund,2022-2023,80.59110260009766,85.34300231933594,0.0,4.751899719238281,82.9670524597168,0.0
