yahoo_symbol,fund_name,Years,CAGR_Yield,Trend_Slope,Trend_R_Squared,Consistency_CV,Max_Consecutive_Increases,Avg_YoY_Growth,Recent_Trend_Slope
08AGG.BO,Nippon India Equity Savings Fund - Segregated Portfolio 2 - Direct Plan - Growth Plan - Growth Option,10,,,,,0,,
08GPG.BO,Nippon India Equity Savings Fund - Segregated Portfolio 2 - Growth Plan - Growth Option,10,,,,,0,,
08MPD.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - MONTHLY IDCW Option,10,,,,,0,,
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,10,,0.44163636363636366,0.15981564770136722,127.89553580558042,2,,-3.93
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,10,,0.0,,,0,,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,10,,0.0,,,0,,0.0
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,10,,0.41648484848484846,0.07457819679863785,65.79250934351965,2,,-4.585
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,10,,0.0,,,0,,0.0
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,10,,-0.06060606060606058,0.003134980012934924,75.64562579388284,3,inf,-4.105
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,10,,0.0,,,0,,0.0
0P00005UMZ.BO,ICICI Prudential Regular Savings Fund - Plan - Monthly IDCW,10,,0.2238181818181819,0.02071735149365162,63.70525425865042,1,267.07324321684996,-6.28
0P00005UN0.BO,ICICI Prudential Nifty 50 Index Fund - Cumulative Option,10,,0.0,,,0,,0.0
0P00005UN1.BO,ICICI Prudential Infrastructure Fund - IDCW,10,,0.40818181818181815,0.09874182575041991,58.28841236633432,4,inf,-4.675
0P00005UN4.BO,ICICI Prudential Infrastructure Fund - Growth,10,,0.0,,,0,,0.0
0P00005UN5.BO,ICICI Prudential All Seasons Bond Fund - Weekly IDCW,10,-10.713028196025132,0.01484848484848484,0.0002311234988942667,54.35671511881722,3,67.01894443994132,-4.130000000000001
0P00005UNG.BO,ICICI Prudential Liquid Fund - Daily IDCW,10,4.697984744563644,0.21690909090909083,0.07863277458336473,54.04499134026991,4,117.79773984346336,-3.1599999999999997
0P00005UNH.BO,ICICI Prudential Liquid Fund - Growth,10,,0.0,,,0,,0.0
0P00005UNR.BO,ICICI Prudential Medium Term Bond Fund - Growth,10,,0.0,,,0,,0.0
0P00005UNX.BO,ICICI Prudential Dynamic Asset Allocation Active FOF - IDCW,10,,0.15448484848484836,0.010901187641544876,153.03828076801227,1,,0.0
0P00005UNZ.BO,ICICI Prudential Dynamic Asset Allocation Active FOF - Growth,10,,0.0,,,0,,0.0
0P00005UO4.BO,ICICI Prudential Multicap Fund - IDCW,10,,-0.1467272727272727,0.013761836914850284,43.89155145208664,2,2.623669267306574,-4.62
0P00005UO6.BO,ICICI Prudential Multicap Fund - Growth,10,,0.0,,,0,,0.0
0P00005UO7.BO,ICICI Prudential Exports & Services Fund - IDCW,10,,0.42836363636363634,0.08627040001114063,66.87394073462141,2,,-4.435
0P00005UO8.BO,ICICI Prudential Exports & Services Fund - Growth,10,,0.0,,,0,,0.0
0P00005UOD.BO,ICICI Prudential Short Term Fund - Monthly IDCW,10,,-0.09169696969696967,0.009180836546519237,55.11901680613012,3,100.67653916169026,-3.87
0P00005UOE.BO,ICICI Prudential Short Term Fund - Growth Option,10,,0.0,,,0,,0.0
0P00005UOF.BO,ICICI Prudential Technology Fund - IDCW,10,,0.3350909090909091,0.05011201963402092,66.62803447650968,3,inf,-4.755
0P00005UOG.BO,ICICI Prudential Technology Fund - Growth,10,,0.0,,,0,,0.0
0P00005UOH.BO,ICICI Prudential Aggressive Hybrid Active FOF - IDCW,10,,0.14684848484848495,0.009521140597461163,153.55839203773144,1,,0.0
0P00005UOI.BO,ICICI Prudential Aggressive Hybrid Active FOF - Growth,10,,0.0,,,0,,0.0
0P00005UOR.BO,NIPPON INDIA FLOATER FUND - MONTHLY IDCW Option,10,5.2535156896372115,0.1383030303030303,0.025578228870707164,51.340201822742294,3,111.13282270316364,-3.3199999999999994
0P00005UOT.BO,Nippon India Floater Fund - Growth Plan-Growth Option,10,,0.0,,,0,,0.0
0P00005UOU.BO,NIPPON INDIA FLOATER FUND - WEEKLY IDCW Option,10,2.9785136359951725,0.14806060606060606,0.028640111241075548,50.69442808647885,3,104.48795326728641,-3.315
0P00005UP6.BO,Nippon India Growth Mid Cap Fund-Growth Plan-Bonus Option,10,,0.0,,,0,,0.0
0P00005UP7.BO,NIPPON INDIA GROWTH MID CAP FUND - IDCW Option,10,,-1.0315151515151517,0.41193882620178746,50.1762724560159,2,-6.146777831190284,-4.005
0P00005UP8.BO,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,10,,0.0,,,0,,0.0
0P00005UP9.BO,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - ANNUAL IDCW Option,10,,0.01981818181818181,0.00031280239023396563,75.53430142618187,2,inf,-3.51
0P00005UPA.BO,Nippon India Medium to Long Duration  Fund - Growth Plan Bonus Option,10,,0.0,,,0,,0.0
0P00005UPB.BO,Nippon India Medium to Long Duration  Fund - Growth Plan Growth Option,10,,0.0,,,0,,0.0
0P00005UPC.BO,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - HALF YEARLY IDCW Option,10,,0.06339393939393934,0.003039326706836856,82.61201812904079,2,,-3.1849999999999996
0P00005UPD.BO,NIPPON INDIA MEDIUM TO LONG DURATION FUND - MONTHLY IDCW Option,10,,0.013333333333333273,0.00021182617851901346,63.589499812421,3,inf,-3.2649999999999997
0P00005UPE.BO,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - QUARTERLY IDCW Option,10,,-0.041454545454545494,0.0017801265228533155,64.99558801593199,2,inf,-3.02
0P00005UPM.BO,Nippon India Ultra Short Duration Fund- Growth Option,10,,0.0,,,0,,0.0
0P00005UPP.BO,Nippon India Liquid Fund -Growth Plan,10,,0.0,,,0,,0.0
0P00005UPQ.BO,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,10,,0.01915151515151514,0.0005789870917235315,59.783011504002246,3,107.3326247628185,-3.495
0P00005UPT.BO,Nippon India Liquid Fund - Retail Option - Growth Plan,10,,0.0,,,0,,0.0
0P00005UPU.BO,NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION,10,15.136213058133418,0.24739393939393944,0.13865926197466516,49.643021788773815,3,117.32478749441528,-2.56
0P00005UPW.BO,NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION,10,,0.12836363636363637,0.03237688966306044,53.277292133206366,2,33.85607889881871,-3.205
0P00005UPZ.BO,Nippon India Money Market Fund-Growth Plan-Growth Option,10,,0.0,,,0,,0.0
0P00005UQ0.BO,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,10,7.694700220443407,0.1734545454545455,0.05084524189417852,48.946985025013625,3,129.16338199828317,-3.17
0P00005UQ2.BO,Nippon India Consumption Fund-Growth Plan-Bonus Option,10,,0.0,,,0,,0.0
0P00005UQ3.BO,NIPPON INDIA CONSUMPTION FUND - IDCW Option,10,,0.21266666666666667,0.025200567970770194,68.50413863030154,3,inf,-4.18
0P00005UQ4.BO,Nippon India Consumption Fund-Growth Plan-Growth Option,10,,0.0,,,0,,0.0
0P00005UQ5.BO,Nippon India Conservative Hybrid  Fund-Growth Plan,10,,0.0,,,0,,0.0
0P00005UQ6.BO,NIPPON INDIA CONSERVATIVE HYBRID  FUND - QUARTERLY IDCW Option,10,,0.2508484848484848,0.04936417946893349,85.36172870342423,3,inf,-2.83
0P00005UQ7.BO,NIPPON INDIA CONSERVATIVE HYBRID  FUND - MONTHLY IDCW Option,10,,0.17581818181818185,0.024724378284917043,72.51408790741503,1,inf,-2.285
0P00005UQ8.BO,Nippon India Corporate Bond Fund - Growth Plan - Bonus Option,10,,0.0,,,0,,0.0
0P00005UQ9.BO,Nippon India Corporate Bond Fund - Growth Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UQA.BO,NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option,10,-0.6713432632750815,0.15703030303030308,0.03473229072012785,51.220276247406304,3,81.51070144978809,-3.435
0P00005UQB.BO,NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option,10,,0.07496969696969696,0.007797223961838747,51.874326851229036,3,41.92725556816778,-3.31
0P00005UQC.BO,NIPPON INDIA DYNAMIC BOND FUND - IDCW Option,10,,0.0,,,0,,0.0
0P00005UQE.BO,Nippon India Pharma Fund-Growth Plan-Bonus Option,10,,0.0,,,0,,0.0
0P00005UQF.BO,NIPPON INDIA PHARMA FUND - IDCW Option,10,,-0.2383030303030302,0.013164146445719012,80.53028072915743,1,inf,-4.49
0P00005UQG.BO,Nippon India Pharma Fund-Growth Plan-Growth Option,10,,0.0,,,0,,0.0
0P00005UQI.BO,NIPPON INDIA SHORT DURATION FUND - MONTHLY IDCW Option,10,-7.6011031792321715,0.14375757575757572,0.027881955480918007,53.992150043839494,3,67.40462293838183,-3.63
0P00005UQJ.BO,Nippon India Short Duration  Fund-Growth Plan,10,,0.0,,,0,,0.0
0P00005UQK.BO,NIPPON INDIA ELSS TAX SAVER FUND - IDCW Option,10,,0.2984848484848484,0.07613345440422124,86.57411064000145,2,,-3.7899999999999996
0P00005UQL.BO,NIPPON INDIA SHORT DURATION FUND - QUARTERLY IDCW OPTION,10,,0.1975151515151516,0.04435664032112814,61.881296081291325,3,66.3362371676235,-3.29
0P00005UQM.BO,Nippon India ELSS Tax Saver Fund-Growth Plan-Growth Option,10,,0.0,,,0,,0.0
0P00005UQN.BO,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option,10,,0.0,,,0,,0.0
0P00005UQO.BO,Nippon India Vision Large & Midcap Fund - IDCW Option,10,,-0.0023030303030302595,2.9574194354296657e-06,58.42252770002817,2,inf,-4.57
0P00005UQP.BO,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,10,,0.0,,,0,,0.0
0P00005UQU.BO,SBI ESG Exclusionary Strategy Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.5994545454545456,0.2727272727272727,300.0,0,,0.0
0P00005UQV.BO,SBI GILT FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005UQW.BO,SBI Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 1 Yr),10,,-0.2760606060606061,0.4433954028449037,168.90663169000126,1,,0.0
0P00005UQY.BO,SBI Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 2 Yrs),10,,-0.2739393939393939,0.4426148035396356,168.95476994069833,1,,0.0
0P00005UR0.BO,SBI Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 3 Yrs),10,,-0.2793333333333334,0.44484287103946984,168.7162410225954,1,,0.0
0P00005UR1.BO,SBI GILT FUND -  GROWTH - PF (Fixed Period - 3 Yrs) Option,10,,0.0,,,0,,0.0
0P00005UR3.BO,SBI GILT FUND -  GROWTH - PF (Regular) Option,10,,0.0,,,0,,0.0
0P00005UR4.BO,SBI Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.3016969696969697,0.3028436142210432,141.60674001019112,2,,0.0
0P00005UR5.BO,SBI CONSTANT MATURITY 10 Year GILT FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005UR6.BO,SBI Constant Maturity 10 Year Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.21745454545454548,0.3039744038734202,191.36180113473046,2,,0.0
0P00005UR7.BO,SBI MNC Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,0.0,,,0,,0.0
0P00005UR8.BO,SBI MNC FUND - REGULAR PLAN -GROWTH,10,,0.0,,,0,,0.0
0P00005UR9.BO,SBI Credit Risk Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.23878787878787877,0.4211479218999523,169.91492814106098,2,,0.0
0P00005URA.BO,SBI CREDIT RISK FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URD.BO,SBI Savings Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.25121212121212116,0.2993851835096419,191.95334128421422,2,,0.0
0P00005URE.BO,SBI  SAVINGS FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URF.BO,SBI Savings Fund - Regular Plan Weekly Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.3790303030303031,0.2919484411165111,195.23969896432328,1,,0.0
0P00005URG.BO,SBI Medium to Long Duration Fund-REGULAR PLAN-Growth,10,,0.0,,,0,,0.0
0P00005URH.BO,SBI Medium to Long Duration Fund-REGULAR PLAN-Bonus,10,,0.0,,,0,,0.0
0P00005URI.BO,SBI Medium to Long Duration Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.3931515151515152,0.539235556163802,166.24781066458286,1,,0.0
0P00005URJ.BO,SBI MEDIUM DURATION FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URK.BO,SBI Medium Duration Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.2847272727272728,0.3561751988162527,179.83293547003385,2,,0.0
0P00005URN.BO,SBI Nifty Index Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,0.0,,,0,,0.0
0P00005URO.BO,SBI NIFTY INDEX FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URP.BO,SBI ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URQ.BO,SBI Ultra Short Duration Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),10,7.4815904538596545,0.07436363636363638,0.007341515090706832,95.4015289885616,1,,-1.475
